UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,200310082,01/31/2020,1139 AUSTIN AVE NE,602,Inman Park,N,33.76163,-84.35038,
LARCENY-FROM VEHICLE,200310170,01/31/2020,240 N HIGHLAND AVE NE ,602,Inman Park,N,33.76191,-84.36039,
LARCENY-FROM VEHICLE,200310260,01/31/2020,49 BOULEVARD SE,604,Sweet Auburn,M,33.75253,-84.3721,
LARCENY-FROM VEHICLE,200310470,01/31/2020,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805,
LARCENY-FROM VEHICLE,200310524,01/31/2020,27 ELLIS ST NE,510,Downtown,M,33.75833,-84.38665,
LARCENY-FROM VEHICLE,200310542,01/31/2020,516 MAGNOLIA ST NW,102,Vine City,L,33.75794,-84.40449,
LARCENY-FROM VEHICLE,200310555,01/31/2020,89 MANGUM ST SW,507,Castleberry Hill,M,33.75191,-84.40002,
LARCENY-FROM VEHICLE,200310566,01/31/2020,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,
LARCENY-FROM VEHICLE,200311005,01/31/2020,703 DURANT PL NE,614,Midtown,E,33.77379,-84.37565,
LARCENY-FROM VEHICLE,200311195,01/31/2020,1333 CAMPBELLTON RD SW,403,Venetian Hills,S,33.71558,-84.43189,
LARCENY-FROM VEHICLE,200311259,01/31/2020,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,
LARCENY-FROM VEHICLE,200311288,01/31/2020,540 PHARR RD,206,Buckhead Village,B,33.83707,-84.37018,
LARCENY-FROM VEHICLE,200311457,01/31/2020,2323 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.81825,-84.36695,
LARCENY-FROM VEHICLE,200311759,01/31/2020,707 HANSELL ST SE,605,Grant Park,W,33.73995,-84.36438,
LARCENY-FROM VEHICLE,200311966,01/31/2020,23 LARKIN PL SW,507,Castleberry Hill,M,33.74728,-84.40426,
LARCENY-FROM VEHICLE,200312231,01/31/2020,782 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36179,
LARCENY-FROM VEHICLE,200312237,01/31/2020,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,200312282,01/31/2020,918 AUSTIN AVE NE,602,Inman Park,N,33.76204,-84.35725,
LARCENY-FROM VEHICLE,200312296,01/31/2020,2345 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81906,-84.3513,
LARCENY-FROM VEHICLE,200312323,01/31/2020,1391 COLLIER RD NW,204,Underwood Hills,D,33.81164,-84.43547,
LARCENY-FROM VEHICLE,200312393,01/31/2020,1784 PEACHTREE RD NE,207,Brookwood Hills,E,33.80266,-84.39289,
LARCENY-FROM VEHICLE,200312397,01/31/2020,1811 PIEDMONT AVE NE,613,Morningside/Lenox Park,F,33.80461,-84.36712,
LARCENY-FROM VEHICLE,200312420,01/31/2020,492 LARKIN ST SW,507,Castleberry Hill,M,33.7476,-84.4037,
LARCENY-FROM VEHICLE,200312421,01/31/2020,3756 ROSWELL RD NE,209,East Chastain Park,B,33.85735,-84.38197,
LARCENY-FROM VEHICLE,200312428,01/31/2020,125 5TH ST NE,505,Midtown,E,33.77594,-84.38325,
LARCENY-FROM VEHICLE,200312454,01/31/2020,1138 PEACHTREE ST NE,503,Midtown,E,33.78559,-84.38365,
LARCENY-FROM VEHICLE,200312468,01/31/2020,537 PEACHTREE ST NE,509,Downtown,M,33.76915,-84.38491,
LARCENY-FROM VEHICLE,200312507,01/31/2020,2429 BOLTON RD NW,103,Bolton,D,33.82065,-84.45537,
LARCENY-FROM VEHICLE,200312567,01/31/2020,1776 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.80875,-84.36471,
LARCENY-FROM VEHICLE,200312648,01/31/2020,1738 MACARTHUR BLVD NW,103,Bolton,D,33.81326,-84.4448,
LARCENY-NON VEHICLE,200310950,01/31/2020,650 PONCE DE LEON AVE NE @HOME DEPOT - PONCE,614,Midtown,E,33.77469,-84.36561,
LARCENY-NON VEHICLE,200311545,01/31/2020,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,200311591,01/31/2020,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,200311702,01/31/2020,565 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73969,-84.41828,
LARCENY-NON VEHICLE,200311868,01/31/2020,3090 CAMPBELLTON RD SW,409,Southwest,R,33.69338,-84.48903,
LARCENY-NON VEHICLE,200311873,01/31/2020,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.85242,-84.36703,
LARCENY-NON VEHICLE,200311952,01/31/2020,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,200312083,01/31/2020,650 PONCE,601,Midtown,E,33.77469,-84.36561,
